Mokyklos g. 1, Bukiškis, Vilniaus raj.
Ateities pl. 32, Kaunas
Sausupio g. 17, Vilnius
Lentvario g. 7, Vilnius 
Dariaus ir Girėno g. 113, Vilnius
Šešuvos km., Jonavos raj.
Marijampolės g. 23, Pagirių km., Garliava
Skuodo g. 3, Kaunas
Ūkininkų g. 8, Juragiai
Pakraščio g. 10, Vilnius
Savanorių pr. 129, Vilnius
Pakalnės g. 5b, Domeikava, Kauno r.
Kęstučio g. 93, Prienai
Užugriovių k., Riešės apyl., Vilniaus r.
Ateities pl. 30g, Kaunas
Dariaus ir Girėno g. 19, Vilnius
Armoniškių g. 37, Kaunas
Tulpių g. 3, Avižieniai, Vilnius
Darbininkų g. 11a, Jonava
Galvės g. 2, Vilnius
Eišiškių pl. 25a, Vilnius
Dariaus ir Girėno g. 107, Vilnius
Liudvinavo g.1B, Vilnius
Didžioji gatvė, Vilniaus rajonas 
Verkių g. 48, Kaunas
Aušros g. 11, Raseiniai
Melioratorių g. 4a, Šalčininkai
Taikos pr. 116c, Kaunas
Kalvarijos g. 28a, Kaunas
Verkių g. 50, Vilnius
Stasylų g. 21, Vilnius
Radvilų Dvaro g. 6, Kaunas
Ateities pl. 30d, Kaunas
Jaunystės g. 1, Vievis
Vytenio g. 10, Vilnius
Karkazų k., Garliavos sen., Kauno raj.
Karkiškės, Kauno r.
Ukmergės g. 212A, Vilnius 
V. Krėvės pr. 112a, Kaunas
Partizanų g. 87a, Kaunas
Neries krantinė 18b, Kaunas
Jonavos g. 140, Kaunas 
Abromiškių km., Elektrėnų sav.
Vytauto g. 170, Garliava
Savanorių pr. 163, Vilnius
Savanorių pr. 119, Vilnius 
Kalvarijos g. 28A, Kaunas
Šeškinės g. 2, Vilnius
Sausio 13-osios g. 1, Vilnius
Tvirtovės al.62, Kaunas 
Islandijos pl. 77, Kaunas
Islandijos pl. 131F, Kaunas
Geležinio Vilko g. 2, Vilnius
Šaldytuvų g., Kaunas
Bijūnų g. 3/ Neries Krantinė, Kaunas
Pramonės pr. 19, 393 garažas, Kaunas
Ukmergės g. 315b, Vilnius
Žirmūnų g. 106, Vilnius
Ašigalio g. 28-101, Kaunas
Daugėliškio g. 32, Vilnius
Ašmenos g. 39, Kaunas
Europos pr. 48, Kaunas
R. Kalantos g. 34-49, Kaunas
Dubysos g. 58, Klaipėda
Liejyklos g. 5A, Šiauliai
Aukštaičių g. 3B/Metalo g., Utena
S. Kerbedžio g. 21, Panevėžys
Veiverių g. 132, Aleksotas, Kaunas
veiveriu 132, Kaunas
Nidos g. 34, Panevėžys
Smiltelės g. 19, Klaipėda
Taikos pr. 161a, Kaunas
Baltijos g.41, Kaunas
VILKPEDES 6, VILNIUS
R.Kalantos g. 13, Kaunas
M. Katkaus 17, Vilnius
Islandijos pl 1-0A, Kaunas
Islandijos pl1A, Kaunas
P. Lukšio g. 18, Vilnius
Ausros 67 - 51, Utena
Savanorių pr, 178, Vilnius
Karlų km., Visagino sav., Visaginas
Mokslininkų g. 18, Vilnius
Kalvarijų g. 206A, Vilnius
Kalvarijų g. 206A, Vilnius
Ukmergės g. 373, Vilnius
Vieversių g, 8, liepkalnis, Vilnius
